[2023-05-27T18:39:10.410] [WARN] warn - Ruta GET /product inexistentes
[2023-05-27T18:39:10.455] [WARN] warn - Ruta GET /product inexistentes
[2023-05-27T18:39:10.476] [WARN] warn - Ruta GET /favicon.ico inexistentes
[2023-05-27T18:39:14.283] [WARN] warn - Ruta GET /favicon.ico inexistentes
[2023-05-27T18:39:17.417] [WARN] warn - Ruta GET /profile inexistentes
[2023-05-27T18:39:18.364] [WARN] warn - Ruta GET /favicon.ico inexistentes
[2023-05-27T18:40:00.048] [WARN] warn - Ruta GET /profile inexistentes
[2023-05-27T18:40:00.108] [WARN] warn - Ruta GET /favicon.ico inexistentes
[2023-05-27T18:40:02.774] [WARN] warn - Ruta GET /profile inexistentes
[2023-05-27T18:40:03.867] [WARN] warn - Ruta GET /favicon.ico inexistentes
[2023-05-27T18:40:08.308] [WARN] warn - Ruta GET /profile inexistentes
[2023-05-27T18:40:08.332] [WARN] warn - Ruta GET /favicon.ico inexistentes
[2023-05-27T18:40:15.894] [WARN] warn - Ruta GET /profile inexistentes
[2023-05-27T18:40:15.916] [WARN] warn - Ruta GET /favicon.ico inexistentes
[2023-05-27T18:40:18.933] [WARN] warn - Ruta GET /profile inexistentes
[2023-05-27T18:40:18.953] [WARN] warn - Ruta GET /favicon.ico inexistentes
[2023-05-27T18:40:24.224] [WARN] warn - Ruta GET /profile inexistentes
[2023-05-27T18:40:24.246] [WARN] warn - Ruta GET /favicon.ico inexistentes
[2023-05-27T18:40:44.920] [WARN] warn - Ruta GET /profile inexistentes
[2023-05-27T18:40:44.943] [WARN] warn - Ruta GET /favicon.ico inexistentes
[2023-05-27T18:41:15.409] [WARN] warn - Ruta GET /favicon.ico inexistentes
[2023-05-27T18:49:35.812] [WARN] warn - Ruta GET /favicon.ico inexistentes
[2023-05-27T18:50:00.020] [WARN] warn - Ruta GET /favicon.ico inexistentes
[2023-05-27T18:50:06.849] [WARN] warn - Ruta GET /favicon.ico inexistentes
[2023-05-27T18:50:09.641] [WARN] warn - Ruta GET /favicon.ico inexistentes
[2023-05-27T18:50:13.903] [WARN] warn - Ruta GET /favicon.ico inexistentes
[2023-05-27T18:50:17.031] [WARN] warn - Ruta GET /profile inexistentes
[2023-05-27T18:50:17.050] [WARN] warn - Ruta GET /favicon.ico inexistentes
[2023-05-27T18:50:23.921] [WARN] warn - Ruta GET /favicon.ico inexistentes
[2023-05-27T18:50:42.194] [WARN] warn - Ruta GET /favicon.ico inexistentes
[2023-05-28T10:40:17.822] [WARN] warn - Ruta GET /favicon.ico inexistentes
[2023-05-28T10:47:29.995] [WARN] warn - Ruta GET /favicon.ico inexistentes
[2023-05-28T10:48:17.108] [WARN] warn - Ruta GET /profile inexistentes
[2023-05-28T10:48:17.150] [WARN] warn - Ruta GET /favicon.ico inexistentes
[2023-05-28T10:57:00.946] [WARN] warn - Ruta GET /profile inexistentes
[2023-05-28T10:57:00.984] [WARN] warn - Ruta GET /favicon.ico inexistentes
[2023-05-28T11:04:26.254] [WARN] warn - Ruta GET /profile inexistentes
[2023-05-28T11:04:26.296] [WARN] warn - Ruta GET /favicon.ico inexistentes
[2023-05-28T11:04:30.198] [WARN] warn - Ruta GET /profile inexistentes
[2023-05-28T11:04:30.246] [WARN] warn - Ruta GET /favicon.ico inexistentes
